code,province,value
BJ,Beijing,952.72
TJ,Tianjin,800.6
HE,Hebei,3175.66
SX,Shanxi,1737.21
NM,Inner Mongolia,2542.87
LN,Liaoning,1984.89
JL,Jilin,651.96
HK,Heilongjiang,868.97
SH,Shanghai,1405.55
JS,Jiangsu,5114.7
ZJ,Zhejiang,3553.9
AH,Anhui,1639.79
FJ,Fujian,1851.86
JX,Jiangxi,1087.26
SD,Shandong,5117.05
HA,Henan,2879.62
HB,Hubei,1665.16
HN,Hunan,1447.63
GD,Guangdong,5310.69
GX,Guangxi,1334.32
HI,Hainan,272.36
CQ,Chongqing,875.37
SC,Sichuan,1992.4
GZ,Guizhou,1174.21
YN,Yunnan,1438.61
XZ,Tibet,40.53
SN,Shaanxi,1221.73
GS,Gansu,1098.72
QH,Qinghai,658
NX,Ningxia,878.33
XJ,Xinjiang,2160.34